Acura,https://www.auto-data.net/en/acura-brand-6
Alfa Romeo,https://www.auto-data.net/en/alfa-romeo-brand-11
Alpina,https://www.auto-data.net/en/alpina-brand-16
Aston Martin,https://www.auto-data.net/en/aston-martin-brand-36
Audi,https://www.auto-data.net/en/audi-brand-41
Bentley,https://www.auto-data.net/en/bentley-brand-66
BMW,https://www.auto-data.net/en/bmw-brand-86
Bugatti,https://www.auto-data.net/en/bugatti-brand-106
BYD,https://www.auto-data.net/en/byd-brand-116
Cadillac,https://www.auto-data.net/en/cadillac-brand-121
Chevrolet,https://www.auto-data.net/en/chevrolet-brand-156
Chrysler,https://www.auto-data.net/en/chrysler-brand-161
Citroen,https://www.auto-data.net/en/citroen-brand-166
Cupra,https://www.auto-data.net/en/cupra-brand-256
Dacia,https://www.auto-data.net/en/dacia-brand-181
Daewoo,https://www.auto-data.net/en/daewoo-brand-191
Daihatsu,https://www.auto-data.net/en/daihatsu-brand-2
Dodge,https://www.auto-data.net/en/dodge-brand-32
DS,https://www.auto-data.net/en/ds-brand-198
Ferrari,https://www.auto-data.net/en/ferrari-brand-62
Fiat,https://www.auto-data.net/en/fiat-brand-67
Ford,https://www.auto-data.net/en/ford-brand-72
Genesis,https://www.auto-data.net/en/genesis-brand-202
GMC,https://www.auto-data.net/en/gmc-brand-97
Great Wall,https://www.auto-data.net/en/great-wall-brand-107
Haval,https://www.auto-data.net/en/haval-brand-214
Honda,https://www.auto-data.net/en/honda-brand-127
Hummer,https://www.auto-data.net/en/hummer-brand-137
Hyundai,https://www.auto-data.net/en/hyundai-brand-147
Infiniti,https://www.auto-data.net/en/infiniti-brand-152
Jaguar,https://www.auto-data.net/en/jaguar-brand-3
Jeep,https://www.auto-data.net/en/jeep-brand-8
Kia,https://www.auto-data.net/en/kia-brand-23
Koenigsegg,https://www.auto-data.net/en/koenigsegg-brand-28
Lada,https://www.auto-data.net/en/lada-brand-140
Lamborghini,https://www.auto-data.net/en/lamborghini-brand-38
Lancia,https://www.auto-data.net/en/lancia-brand-43
Land Rover,https://www.auto-data.net/en/land-rover-brand-48
Lexus,https://www.auto-data.net/en/lexus-brand-58
Lotus,https://www.auto-data.net/en/lotus-brand-78
Maserati,https://www.auto-data.net/en/maserati-brand-108
Mazda,https://www.auto-data.net/en/mazda-brand-118
McLaren,https://www.auto-data.net/en/mclaren-brand-123
Mercedes-Benz,https://www.auto-data.net/en/mercedes-benz-brand-138
MG,https://www.auto-data.net/en/mg-brand-153
Mini,https://www.auto-data.net/en/mini-brand-168
Mitsubishi,https://www.auto-data.net/en/mitsubishi-brand-173
NIO,https://www.auto-data.net/en/nio-brand-295
Nissan,https://www.auto-data.net/en/nissan-brand-4
Opel,https://www.auto-data.net/en/opel-brand-19
Pagani,https://www.auto-data.net/en/pagani-brand-29
Peugeot,https://www.auto-data.net/en/peugeot-brand-49
Porsche,https://www.auto-data.net/en/porsche-brand-64
RAM,https://www.auto-data.net/en/ram-brand-240
Renault,https://www.auto-data.net/en/renault-brand-99
Rolls-Royce,https://www.auto-data.net/en/rolls-royce-brand-109
Rover,https://www.auto-data.net/en/rover-brand-119
Saab,https://www.auto-data.net/en/saab-brand-124
Seat,https://www.auto-data.net/en/seat-brand-144
Skoda,https://www.auto-data.net/en/skoda-brand-154
Smart,https://www.auto-data.net/en/smart-brand-164
Subaru,https://www.auto-data.net/en/subaru-brand-189
Suzuki,https://www.auto-data.net/en/suzuki-brand-194
Tesla,https://www.auto-data.net/en/tesla-brand-197
Toyota,https://www.auto-data.net/en/toyota-brand-40
Vauxhall,https://www.auto-data.net/en/vauxhall-brand-60
Volkswagen,https://www.auto-data.net/en/volkswagen-brand-80
Volvo,https://www.auto-data.net/en/volvo-brand-85
All brands,https://www.auto-data.net/en/allbrands
